plain,pap,dan,plain_javanese,plain_xhosa,plain_bengali,plain_hebrew
1.0,1.0,1.0,1.0,0.999,1.0,1.0
1.0,1.0,1.0,1.0,0.991,1.0,0.999
1.0,0.999,1.0,0.999,0.995,0.999,0.997
1.0,1.0,1.0,1.0,0.992,1.0,1.0
1.0,1.0,1.0,1.0,0.992,1.0,1.0
1.0,1.0,1.0,1.0,0.999,1.0,1.0
1.0,0.999,1.0,0.999,0.995,0.999,1.0
1.0,1.0,1.0,0.999,0.999,1.0,1.0
1.0,0.999,1.0,0.99,0.992,1.0,0.999
1.0,0.14,1.0,1.0,0.997,1.0,0.997
1.0,1.0,1.0,0.999,0.985,1.0,1.0
1.0,1.0,1.0,1.0,0.968,1.0,1.0
1.0,1.0,1.0,1.0,0.58,1.0,1.0
1.0,0.001,1.0,1.0,0.999,1.0,0.999
1.0,1.0,1.0,0.999,0.999,1.0,1.0
1.0,1.0,1.0,1.0,0.995,1.0,1.0
1.0,0.825,1.0,0.999,0.99,1.0,0.991
1.0,1.0,1.0,1.0,0.617,1.0,1.0
1.0,1.0,1.0,0.999,0.997,0.999,1.0
1.0,0.013,1.0,0.996,0.984,1.0,1.0
