plain,pap,dan,plain_javanese,plain_xhosa,plain_bengali,plain_hebrew
0.0,0.0,1.0,0.0,0.002,0.0,0.0
0.0,0.0,1.0,0.0,0.001,0.0,0.124
0.998,0.0,1.0,0.045,0.008,0.0,0.993
0.999,0.0,1.0,1.0,0.182,0.015,1.0
0.0,0.0,1.0,0.001,0.001,0.0,0.002
0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.066,0.01,0.019,0.999
0.0,0.0,1.0,0.004,0.001,0.0,0.005
0.002,0.0,1.0,0.009,0.001,0.0,0.002
0.997,0.001,1.0,0.993,0.019,0.001,0.845
0.983,0.0,1.0,0.919,0.925,0.029,0.998
0.0,0.0,1.0,0.007,0.002,0.0,0.0
0.0,0.0,1.0,0.0,0.003,0.0,0.0
0.081,0.0,1.0,0.0,0.0,0.0,0.066
0.894,0.0,1.0,0.009,0.001,0.0,0.998
0.017,0.0,1.0,0.01,0.026,0.0,0.016
0.991,0.001,1.0,0.011,0.003,0.0,0.066
0.0,0.0,1.0,0.0,0.013,0.0,0.0
1.0,0.0,1.0,0.034,0.604,0.146,0.993
0.998,0.0,1.0,0.003,0.004,0.0,0.998
